"AnimalID","feedlot","cohort","set13","brd50","inductionweight","mix_final","BVDV_PI_origin_FINAL","age_ind_est_m","PV_pre2_final","BVDV1","BVDV_binary","mix_final_v1","BVDV_PI_origin_FINAL_v1","age","weight"
"951 000014875289","7","JL08","JL08ND290287",0,400,"no no 2-3","no BVDV in cohort",22,"0","4",1,"no no","no BVDV in cohort",0.22,0.4
"951 000014875359","7","JL08","JL08ND290287",1,482,"no no 2-3","no BVDV in cohort",22,"0","5",1,"no no","no BVDV in cohort",0.22,0.482
"951 000014875441","7","JL08","JL08ND290287",1,404,"no no 2-3","no BVDV in cohort",22,"0","0",0,"no no","no BVDV in cohort",0.22,0.404
"951 000014875539","7","JL08","JL08ND290287",1,482,"no no 2-3","no BVDV in cohort",22,"0","3",1,"no no","no BVDV in cohort",0.22,0.482
"951 000014875845","7","JL08","JL08ND290287",1,404,"no no 2-3","no BVDV in cohort",22,"0","0",0,"no no","no BVDV in cohort",0.22,0.404
"951 000014876108","7","JL08","JL08ND290287",1,456,"no no 2-3","no BVDV in cohort",22,"0","0",0,"no no","no BVDV in cohort",0.22,0.456
"951 000014876124","7","JL08","JL08ND290287",1,414,"no no 2-3","no BVDV in cohort",22,"0","5",1,"no no","no BVDV in cohort",0.22,0.414
"951 000014876171","7","JL08","JL08ND290287",0,490,"no no 2-3","no BVDV in cohort",22,"0","4",1,"no no","no BVDV in cohort",0.22,0.49
"951 000014876227","7","JL08","JL08ND290287",0,516,"no no 2-3","no BVDV in cohort",22,"0","4",1,"no no","no BVDV in cohort",0.22,0.516
"951 000014876263","7","JL08","JL08ND290287",1,424,"no no 2-3","no BVDV in cohort",22,"0","0",0,"no no","no BVDV in cohort",0.22,0.424
"951 000014879964","10","PC11","PC113ALBT124",1,425,"yes no 4-9","PI animal in cohort",16,"0","4",1,"yes no","PI animal in cohort",0.16,0.425
"951 000015117586","4","CR18","CR18NG451429",1,386,"no no 10+","PI animal in cohort",14,"0","0",0,"no no","PI animal in cohort",0.14,0.386
"951 000015118544","4","CR18","CR18NG451429",0,438,"no no 10+","PI animal in cohort",14,"0","3",1,"no no","PI animal in cohort",0.14,0.438
"951 000015145216","9","MG11","MG11QCBL0554",0,467,"yes no 2-3","TI but no PI in cohort",21,"0","0",0,"yes no","TI but no PI in cohort",0.21,0.467
"951 000015145218","9","MG11","MG11QCBL0554",0,443,"yes no 2-3","TI but no PI in cohort",21,"0","3",1,"yes no","TI but no PI in cohort",0.21,0.443
"951 000015227199","4","CR17","CR17NA283823",1,468,"yes no 4-9","PI animal in cohort",23,"0","2",1,"yes no","PI animal in cohort",0.23,0.468
"951 000015317058","2","BC19","BC19QGST0112",0,412,"yes no 2-3","no BVDV in cohort",23,"0","4",1,"yes no","no BVDV in cohort",0.23,0.412
"951 000015359411","10","PC17","PC173GLLL039",0,488,"no no 10+","TI but no PI in cohort",16,"0","0",0,"no no","TI but no PI in cohort",0.16,0.488
"951 000015360171","10","PC17","PC173GLLL039",1,465,"no no 10+","TI but no PI in cohort",16,"0","0",0,"no no","TI but no PI in cohort",0.16,0.465
"951 000015469266","10","PC17","PC17SA200432",1,426,"no no 10+","TI but no PI in cohort",18,"0","3",1,"no no","TI but no PI in cohort",0.18,0.426
"951 000015469497","10","PC17","PC17SA200432",1,448,"no no 10+","TI but no PI in cohort",18,"0","4",1,"no no","TI but no PI in cohort",0.18,0.448
