SWAB_NUMBER,VAC_CODE,CALF_ID,SEX,location,Producer,pinkeye,weight,Pinkeye_score,,extra
56,1,b0463,h,1,1,1,468,5
424,4,b0207,h,4,1,0,468,0
430,1,b8002,h,4,1,0,468,0
2,4,y345,h,1,1,0,468,0
314,3,w9114,h,3,1,0,469,0
33,2,y359,b,1,1,0,470,0
623,3,674,h,10,3,0,470,0
630,3,730,h,10,3,0,470,0
196,1,b2502,h,2,1,0,470,0
74,1,b0465,s,1,1,1,470,3
176,3,b0329,s,2,1,1,470,5
267,1,w0203,h,3,1,0,471,0
468,1,b0231,h,4,1,0,472,0
101,4,b0418,s,1,1,1,472,2
263,2,w0209,s,3,1,0,472,0
245,4,w9203,h,3,1,1,473,5
250,2,w1212,s,3,1,1,473,2
323,4,w2113,s,3,1,0,473,0
389,4,b0242,h,4,1,0,474,0
242,2,w6202,h,3,1,0,474,0
269,1,w6202,h,3,1,0,474,0
588,4,694,h,9,3,0,475,0
626,3,700,h,10,3,0,475,0
666,1,714,h,11,3,0,475,0
590,2,768,s,9,3,0,475,0
657,4,713,s,11,3,0,475,0
309,2,w2122,h,3,1,1,476,5
18,4,y364,h,1,1,0,476,0
79,4,b0432,s,1,1,1,476,3
103,4,b0431,s,1,1,1,476,3
432,2,b0223,s,4,1,0,476,0
7,2,w4303,s,1,1,0,476,0
221,3,b0374,h,2,1,0,478,0
158,4,b0245,s,2,1,0,478,0
572,1,675,h,8,3,0,480,0
31,3,w4309,h,1,1,0,480,0
21,2,y371,h,1,1,0,480,0
656,1,240,s,11,3,0,480,0
348,4,w1102,h,3,1,0,481,0
298,2,w1221,s,3,1,0,481,0
480,1,317,h,5,2,0,482,0
528,2,419,h,6,2,0,482,0
96,4,b0406,s,1,1,1,482,3
214,4,b0360,s,2,1,1,482,5
125,3,b904,s,2,1,0,482,0
53,4,w4325,s,1,1,0,482,0
207,2,b0311,h,2,1,0,484,0
102,3,b0409,h,1,1,0,484,0
187,2,b0308,s,2,1,0,484,0
597,4,748,h,9,3,0,485,0
668,2,686,h,11,3,0,485,0
617,1,673,s,10,3,0,485,0
438,3,b0108,h,4,1,0,486,0
140,3,b4802,h,2,1,0,486,0
208,3,b0218,s,2,1,1,486,3
289,4,w4203,h,3,1,1,487,1
490,4,268,b,5,2,0,488,0
87,2,b0448,h,1,1,0,488,0
357,4,w1305,h,3,1,0,488,0
375,1,w3312,h,3,1,0,488,0
319,2,w9119,h,3,1,0,488,0
660,3,740,h,11,3,0,490,0
219,4,b0152,h,2,1,1,490,5
409,3,b0244,h,4,1,0,490,0
459,4,b0383,h,4,1,0,490,0
47,2,y250,h,1,1,0,490,0
649,4,716,s,11,3,0,490,0
232,1,w0206,s,3,1,0,490,0
383,3,w2309,s,3,1,0,490,0
522,2,461,h,6,2,0,491,0
485,1,304,b,5,2,0,492,0
88,2,b0446,h,1,1,1,492,5
203,3,b0138,h,2,1,0,492,0
97,2,b0419,h,1,1,0,492,0
320,3,w3101,h,3,1,0,492,0
508,2,446,h,6,2,0,493,0
493,2,911,s,5,2,0,493,0
69,3,b0417,h,1,1,1,494,2
58,3,b0421,h,1,1,1,494,5
429,2,b4702,h,4,1,0,494,0
350,1,w2105,h,3,1,1,495,3
629,1,754,h,10,3,0,495,0
655,2,736,h,11,3,0,495,0
573,1,773,s,8,3,0,495,0
137,2,b8713,h,2,1,0,496,0
41,4,y248,h,1,1,0,496,0
253,3,w3207,s,3,1,0,499,0
559,2,665,s,8,3,0,500,0
107,2,b0401,s,1,1,0,500,0
300,2,w1240b,s,3,1,0,500,0
534,1,330,h,6,2,0,502,0
302,1,w7203,h,3,1,0,502,0
328,2,w9110,h,3,1,0,502,0
363,3,w9303,h,3,1,0,502,0
64,3,b0433,s,1,1,1,502,1
83,1,b0425,s,1,1,1,502,2
407,4,b4508,s,4,1,0,502,0
1,2,w4312,s,1,1,0,502,0
126,2,b0125,h,2,1,0,504,0
194,4,b0246,h,2,1,0,504,0
61,4,b0459,s,1,1,0,504,0
624,3,723,h,10,3,0,505,0
664,3,709,h,11,3,0,505,0
653,4,721,s,11,3,0,505,0
659,1,547,s,11,3,0,505,0
526,4,484,h,6,2,0,506,0
426,1,b0359,h,4,1,0,506,0
367,1,w1301,h,3,1,0,506,0
255,4,w7202,h,3,1,0,506,0
142,3,b0346,s,2,1,0,506,0
259,4,w4207,s,3,1,0,506,0
4,4,y306,b,1,1,0,508,0
57,4,b0442,h,1,1,1,508,2
456,4,b0157,h,4,1,0,508,0
307,4,w2119,s,3,1,0,508,0
384,4,w2301,s,3,1,0,508,0
339,4,w9116,s,3,1,0,508,0
598,1,667,h,9,3,0,510,0
514,2,428,h,6,2,0,510,0
433,2,b0110,h,4,1,0,510,0
452,1,b0376,h,4,1,0,510,0
239,3,w1237,s,3,1,1,510,3
408,1,b8707,s,4,1,0,510,0
220,1,b8918,s,2,1,0,510,0
316,1,w1104,s,3,1,0,510,0
93,4,b0462,h,1,1,0,512,0
337,3,w1108,h,3,1,0,512,0
419,4,b8013,s,4,1,0,512,0
414,1,b8907,s,4,1,0,512,0
19,2,y349,h,1,1,1,514,1
437,1,b001,h,4,1,0,514,0
195,4,b0128,h,2,1,0,514,0
163,1,b0243,h,2,1,0,514,0
127,1,b0251,h,2,1,0,514,0
458,2,b0252,h,4,1,0,514,0
156,3,b0327,h,2,1,0,514,0
133,2,b0353,h,2,1,0,514,0
466,4,b4804,h,4,1,0,514,0
455,1,b4911,h,4,1,0,514,0
144,4,b8801,h,2,1,0,514,0
299,4,w1205,h,3,1,0,514,0
197,3,y0341,h,2,1,0,514,0
524,3,308,h,6,2,0,514,0
539,4,,h,,,0,514,0
51,2,w4306,h,1,1,1,514,1
171,4,b0319,h,2,1,0,514,0
543,3,233,h,7,2,0,514,0
150,2,b0368,h,2,1,0,514,0
411,2,b4425,h,4,1,0,514,0
213,3,b0310,s,2,1,1,514,2
451,3,b8910,s,4,1,0,514,0
449,3,b4901,h,4,1,0,516,0
417,1,b0103,h,4,1,0,518,0
410,4,b0107,h,4,1,0,518,0
141,3,b0145,h,2,1,0,518,0
248,4,w0210,h,3,1,0,518,0
396,2,b0213,s,4,1,1,518,3
168,3,b0323,s,2,1,0,518,0
90,4,b0438,s,1,1,0,518,0
261,2,w1239,s,3,1,0,518,0
15,2,w4314,s,1,1,0,518,0
186,2,b0121,h,2,1,1,519,2
518,3,491,b,6,2,0,520,0
620,2,744,h,10,3,0,520,0
3,4,y367,h,1,1,1,520,1
380,1,w1303,h,3,1,0,520,0
661,4,718,s,11,3,0,520,0
46,4,w4304,s,1,1,1,520,3
467,3,b0361,s,4,1,0,520,0
499,4,455,h,6,2,0,522,0
405,3,b8003,h,4,1,0,522,0
327,3,w9112,h,3,1,0,522,0
313,2,w9117,s,3,1,0,522,0
330,1,w9121,s,3,1,0,522,0
478,4,O22,h,5,2,0,524,0
510,1,479,h,6,2,0,524,0
5,2,w4305,h,1,1,0,524,0
444,1,b2404,s,4,1,0,524,0
10,3,w4322,s,1,1,0,524,0
589,3,699,h,9,3,0,525,0
642,3,693,h,11,3,0,525,0
89,3,b0444,h,1,1,0,526,0
435,3,b8906,h,4,1,0,526,0
275,2,w0208,h,3,1,0,526,0
243,4,w3208,h,3,1,0,526,0
8,1,w4320,h,1,1,0,526,0
66,1,b0441,s,1,1,0,526,0
329,2,w9109,s,3,1,0,526,0
117,4,b4209,h,1,1,1,528,2
258,3,w5202,h,3,1,0,528,0
200,4,b0122,s,2,1,1,528,5
387,2,b8802,s,4,1,0,528,0
619,2,702,h,10,3,0,530,0
628,4,755,h,10,3,0,530,0
132,4,b0343,h,2,1,0,530,0
167,1,b4518,h,2,1,0,530,0
224,2,b4701,h,2,1,0,530,0
647,2,701,s,11,3,0,530,0
159,3,b0134,s,2,1,0,530,0
318,2,w2116,s,3,1,0,530,0
292,4,w6205,s,3,1,0,530,0
554,2,824,h,7,2,0,532,0
217,4,b0333,h,2,1,0,532,0
453,4,b4611,h,4,1,0,532,0
162,1,b8009,s,2,1,1,532,3
273,2,w1214,s,3,1,0,532,0
193,2,b0135,h,2,1,0,534,0
180,4,b0115,s,2,1,0,534,0
60,3,b0413,s,1,1,0,534,0
59,1,b0416,s,1,1,0,534,0
463,2,b4416,s,4,1,0,534,0
652,2,717,h,11,3,0,535,0
594,4,698,h,9,3,1,535,1
646,4,636,s,11,3,0,535,0
667,2,697,s,11,3,0,535,0
136,1,b0237,h,2,1,0,536,0
416,1,b4405,h,4,1,0,536,0
108,4,b0429,s,1,1,1,536,3
274,1,w1210,s,3,1,1,536,5
236,1,w4204,s,3,1,0,536,0
536,3,625,h,6,2,0,538,0
77,3,b0447,h,1,1,1,538,1
402,4,b0317,h,4,1,0,538,0
281,1,w8205,h,3,1,0,538,0
294,2,w8210,s,3,1,1,538,2
403,4,b0151,s,4,1,0,538,0
601,2,732,h,9,3,0,540,0
663,1,689,h,11,3,0,540,0
82,2,b0471,h,1,1,0,540,0
413,3,b4810,h,4,1,0,540,0
112,3,b8205,h,1,1,0,540,0
551,1,311,s,7,2,0,540,0
440,1,b4801,s,4,1,0,540,0
285,2,w0202,s,3,1,0,540,0
306,4,w2106,s,3,1,0,540,0
492,3,258,b,5,2,0,542,0
557,3,885,b,7,2,0,542,0
457,1,b0229,h,4,1,0,542,0
241,4,w3202,h,3,1,0,542,0
129,1,b004,s,2,1,1,542,5
553,4,103,b,7,2,0,544,0
14,4,w4321,h,1,1,0,544,0
210,2,b0226,s,2,1,0,544,0
599,4,666,b,9,3,0,545,0
538,3,305,b,7,2,0,546,0
390,4,b8006,h,4,1,0,546,0
134,2,b0221,s,2,1,0,546,0
545,2,310,h,7,2,0,548,0
122,4,b0233,h,2,1,0,548,0
418,3,b0377,h,4,1,0,548,0
111,2,b4322,h,1,1,0,548,0
43,3,y254,h,1,1,0,548,0
556,2,176,b,7,2,0,550,0
497,1,404,h,6,2,0,550,0
509,1,944,h,6,2,0,550,0
135,1,b0336,h,2,1,0,550,0
92,4,b0407,s,1,1,0,550,0
484,1,110,h,5,2,0,552,0
20,2,y251,h,1,1,1,552,2
331,2,w1107,h,3,1,0,552,0
146,4,b0375,s,2,1,0,552,0
147,4,b4912,s,2,1,0,552,0
228,3,w1213,s,3,1,0,552,0
276,3,w1218,h,3,1,0,554,0
45,3,y356,h,1,1,0,554,0
38,1,y963,h,1,1,0,554,0
662,4,680,h,11,3,0,555,0
24,3,y201,b,1,1,0,556,0
34,2,y0365,h,1,1,0,556,0
225,3,b4712,s,2,1,0,556,0
229,3,w1206,s,3,1,0,556,0
504,4,209,b,6,2,0,558,0
540,4,740,h,7,2,0,558,0
297,3,w8209,h,3,1,1,558,5
183,1,b0105,h,2,1,0,558,0
282,1,w8211,h,3,1,0,558,0
22,2,y754,h,1,1,0,558,0
215,3,b4902,s,2,1,1,558,5
377,1,w9309,s,3,1,0,558,0
116,4,b2201,s,1,1,0,558,0
49,4,w4311,s,1,1,0,558,0
42,3,w4318,s,1,1,0,558,0
503,3,403,b,6,2,0,560,0
616,1,715,h,10,3,0,560,0
265,3,w1202,h,3,1,1,560,5
188,4,b0366,h,2,1,0,560,0
40,3,y358,h,1,1,0,560,0
442,4,b0236,s,4,1,0,560,0
356,2,w3305,h,3,1,0,562,0
338,1,w2110,s,3,1,1,562,2
104,3,b0469,s,1,1,0,562,0
421,3,b4807,s,4,1,0,562,0
400,4,b0312,s,4,1,0,564,0
465,2,b4716,s,4,1,0,564,0
575,1,739,h,8,3,0,565,0
516,1,102,b,6,2,0,566,0
541,2,OO1,b,7,2,0,566,0
501,3,454,h,6,2,0,566,0
365,2,w3303,h,3,1,0,566,0
399,1,b0144,s,4,1,0,566,0
462,4,b4905,s,4,1,0,566,0
358,4,w1308,s,3,1,0,566,0
397,1,b0324,h,4,1,1,568,2
431,1,b0131,h,4,1,0,568,0
280,1,w9204,h,3,1,0,568,0
189,3,b0124,s,2,1,0,568,0
530,4,411,b,6,2,0,570,0
17,1,y317,b,1,1,0,570,0
11,3,y837,b,1,1,0,570,0
627,2,690,h,10,3,0,570,0
644,1,685,h,11,3,0,570,0
181,3,b0325,s,2,1,1,570,1
341,4,w2115,s,3,1,0,570,0
238,1,w6201,s,3,1,0,570,0
304,2,w9103,s,3,1,0,570,0
342,3,w1113,s,3,1,0,572,0
477,2,274,h,5,2,0,574,0
179,3,b0313,h,2,1,0,574,0
153,3,b4714,h,2,1,0,574,0
344,2,w9122,s,3,1,0,574,0
479,3,807,b,5,2,0,576,0
35,2,y305,b,1,1,0,576,0
549,2,336,h,7,2,0,576,0
230,3,w1227,h,3,1,0,576,0
240,3,w1209,s,3,1,0,576,0
216,2,b003,h,2,1,0,578,0
502,4,477,h,6,2,0,578,0
532,3,731,h,6,2,0,578,0
423,2,b4710,h,4,1,0,578,0
443,2,b4008,s,4,1,0,578,0
