"","AnimalID","feedlot","cohort","Y","A","age","weight","mix_hist","PIgroup","PV_vacc","ps.re","ps.fe"
"28","951 000009958394",4,"CR05",1,0,0.23,0.441,"no no","PI animal in cohort",0,0.530748158536131,0.531187807572179
"29","951 000009958477",4,"CR05",1,1,0.23,0.47,"no no","PI animal in cohort",0,0.504934244534779,0.503343362190321
"30","951 000009958516",4,"CR05",1,1,0.23,0.449,"no no","PI animal in cohort",0,0.523637621968458,0.523518585265573
"31","951 000009958624",4,"CR05",1,1,0.23,0.475,"no no","PI animal in cohort",0,0.500477059213997,0.498535668296932
"32","951 000009958884",4,"CR05",1,0,0.23,0.451,"no no","PI animal in cohort",0,0.521858376198892,0.521599403205393
"33","951 000009959228",4,"CR05",1,1,0.23,0.492,"no no","PI animal in cohort",0,0.485326299976218,0.482196850602432
"34","951 000009959428",4,"CR05",1,0,0.23,0.437,"no no","PI animal in cohort",0,0.534298931920594,0.535017128522945
"35","951 000009959766",4,"CR05",1,0,0.23,0.469,"no no","PI animal in cohort",0,0.505825610161727,0.504304855230098
"36","951 000009959787",4,"CR05",1,0,0.23,0.476,"no no","PI animal in cohort",0,0.499585590381132,0.497574133562812
"37","951 000009959871",4,"CR05",0,0,0.23,0.48,"no no","PI animal in cohort",0,0.496019798071877,0.493728245162191
"38","951 000009959910",4,"CR05",1,0,0.23,0.494,"no no","PI animal in cohort",0,0.483545091373801,0.480276462024149
"39","951 000009959926",4,"CR05",1,1,0.23,0.422,"no no","PI animal in cohort",0,0.547580511079867,0.549336728455476
"40","951 000009959972",4,"CR05",1,1,0.23,0.502,"no no","PI animal in cohort",0,0.476424888027753,0.47260129877024
"43","951 000010763094",4,"CR04",1,0,0.2,0.467,"no no","PI animal in cohort",0,0.512041248586915,0.511945415880821
"50","951 000011770804",4,"CR05",1,0,0.23,0.447,"no no","PI animal in cohort",0,0.525416267959458,0.525437073039877
"51","951 000011806894",4,"CR05",1,1,0.23,0.394,"no no","PI animal in cohort",0,0.572178319788073,0.575831602548338
"52","951 000011810576",4,"CR05",1,0,0.23,0.428,"no no","PI animal in cohort",0,0.542274934801353,0.543617345446478
"54","951 000012019572",4,"CR12",1,1,0.2,0.445,"yes no","TI but no PI in cohort",0,0.681144159859346,0.671467852365587
"63","951 000012543500",4,"CR10",0,0,0.18,0.431,"yes no","PI animal in cohort",0,0.775344812456996,0.769264927337964
"64","951 000012735807",4,"CR11",1,0,0.16,0.428,"yes no","PI animal in cohort",1,0.779808438122939,0.787944043255514
"67","951 000012783371",4,"CR10",0,1,0.18,0.452,"yes no","PI animal in cohort",0,0.762032975964896,0.75461792452552
"103","951 000013380131",4,"CR12",1,1,0.2,0.472,"yes no","TI but no PI in cohort",0,0.659879263786462,0.648165253740963
"118","951 000013536852",4,"CR12",1,1,0.19,0.47,"yes no","TI but no PI in cohort",0,0.662800879925838,0.65165062928486
